PCE,below18,above18
18.038377,,
18.04181,,
18.075779,,
18.093413,,
18.094732,,
18.09721,,
18.099522,,
18.101387,,
18.106355,,
18.108518,,
18.110504,,
18.113725,,
18.116551,,
18.117887,,
18.133513,,
18.136421,,
18.139588,,
18.142773,,
18.146159,,
18.146218,,
18.151733,,
18.16725,,
18.1678,,
18.171138,,
18.172801,,
18.1777,,
18.185618,,
18.186708,,
18.193967,,
18.19975,,
18.205656,,
18.217445,,
18.228134,,
18.237125,,
18.245883,,
18.254753,,
18.256158,,
18.257145,,
18.262364,,
18.264165,,
18.273183,,
18.276935,,
18.286588,,
18.28897,,
18.292294,,
18.295939,,
18.300247,,
18.317645,,
18.332101,,
18.332586,,
18.34163,,
18.342485,,
18.349785,,
18.354337,,
18.355004,,
18.35618,,
18.358009,,
18.363531,,
18.37987,,
18.381928,,
18.383575,,
18.38807,,
18.400414,,
18.401202,,
18.40989,,
18.423114,,
18.426192,,
18.426747,,
18.445886,,
18.445891,,
18.448119,,
18.451427,,
18.453926,,
18.454201,,
18.470713,,
18.475098,,
18.494545,,
18.495521,,
18.497354,,
18.499365,,
18.501446,,
18.503783,,
18.512061,,
18.51595,,
18.516157,,
18.52131,,
18.521957,,
18.53035,,
18.535284,,
18.536388,,
18.550304,,
18.551447,,
18.556001,,
18.556044,,
18.556878,,
18.559027,,
18.563388,,
18.571984,,
18.573714,,
18.577835,,
18.580504,,
18.583512,,
18.59289,,
18.606669,,
18.639562,,
18.644886,,
18.647351,,
18.684876,,
18.689222,,
18.693793,,
18.70291,,
18.707813,,
18.709938,,
18.743376,,
18.743799,,
18.745359,,
18.749887,,
18.758509,,
18.764681,,
18.77024,,
18.772926,,
18.776537,,
18.801674,,
18.806392,,
18.816217,,
18.81755,,
18.819707,,
18.823734,,
18.827794,,
18.83303,,
18.842851,,
18.854916,,
18.86227,,
18.86622,,
18.867875,,
18.872663,,
18.877213,,
18.880848,,
18.889908,,
18.89308,,
18.898039,,
18.899688,,
18.911394,,
18.933147,,
18.936541,,
18.973424,,
18.980714,,
18.988866,,
18.991252,,
18.991844,,
19.001571,,
19.028125,,
19.028334,,
19.029923,,
19.032939,,
19.054133,,
19.061915,,
19.073635,,
19.086734,,
19.099779,,
19.117729,,
19.134691,,
19.139146,,
19.140342,,
19.155931,,
19.156876,,
19.157762,,
19.164091,,
19.170555,,
19.179257,,
19.196478,,
19.207574,,
19.21012,,
19.213316,,
19.241373,,
19.249915,,
19.261598,,
19.268835,,
19.271642,,
19.277336,,
19.307154,,
19.324658,,
19.347186,,
19.41706,,
19.430885,,
19.455655,,
19.498124,,
19.503686,,
19.515038,,
19.517014,,
19.517747,,
19.540979,,
19.543858,,
19.546962,,
19.552461,,
19.572434,,
19.577608,,
19.582466,,
19.598379,,
19.620398,,
19.638328,,
19.664179,,
19.692547,,
19.695423,,
19.714061,,
19.720722,,
19.72525,,
19.743476,,
19.752816,,
