,SMILES,new name,old name,homo,lumo,bandgap,
203,c1sc(c2c1C[C@H](F)[C@@H](F)C2),203,76,-6.631632228,-0.791334289,5.840297939,
204,c1sc(c(c1SCC)SCC)C=C,204,597,-5.66271644,-1.337847746,4.324868694,
205,c1sc(c2c1cc(C(C)(C)C)cc2)C=C,205,443,-5.27979783,-1.844278833,3.435518997,
206,c1sc(c(c1)C=O),206,655,-7.098634018,-1.712466884,5.386167134,
207,c1oc(c(c1)N(=O)=O),207,627,-7.454096341,-2.437078856,5.017017485,
208,c(s1)c2c(=O)n(C)c(=O)c2c1,208,601,-5.931102331,-2.59452393,3.336578401,duplicate
209,c1sc(c2c1cc(C=C)cc2)C=C,209,263,-5.354357025,-2.040799456,3.313557569,
210,c1sc(c2c1c(C(=O)C(F)(F)F)ccc2),210,885,-6.201637921,-2.770064575,3.431573346,
211,c1oc2c(C(=O)N)c(oc2c1)C=C,211,63,-5.758609361,-1.669663375,4.088945986,
212,c1c2c(ccs1)nc1c2sc(c1),212,702,-5.76054137,-2.113236163,3.647305207,
213,c1oc2c(c1)C(=S)c1c2oc(c1)C=C,213,674,-5.47999199,-3.204385492,2.275606498,
214,c1c(OCCC)c(cc(c1)OCCC),214,996,-5.464372655,-0.196792737,5.267579918,
215,c1[nH]cc2c1[nH]cc2C=C,215,209,-4.658997291,-0.157499497,4.501497794,
216,c1scc(N(O)O)c1N(O)O,216,107,-5.877577537,-0.491083866,5.386493671,
217,c1c2c(=O)oc(=O)c2c(c2c1c(=O)oc2=O),217,677,-8.750310668,-4.082007083,4.668303585,
218,c1[nH]c(=O)c2c1c(=O)[nH]c2C=C,218,730,-5.753303141,-2.735424482,3.017878659,
219,c1nnc(nn1),219,502,-6.788941245,-3.243869212,3.545072033,
220,C1=CC2=C(OC=CO2)/C/1=C/1\C2=C(OC=CO2)C=C1C=C,220,314,-4.812387869,-3.144248331,1.668139538,
221,c1[nH]cc2c1[nH]cc2,221,953,-4.62517354,0.496117972,5.121291512,
222,c1sc2c(c1)C(=O)c1c2sc(c1)C=C,222,484,-5.640267048,-2.705764072,2.934502976,
223,c1sc(c2c1CC[C@@H](N(=O)=O)C2),223,179,-6.446730866,-1.860986624,4.585744242,
224,c1sc(c2c1cc(C)cc2),224,773,-5.505461846,-1.477823111,4.027638735,
225,C1SCN2[C@H]1NCC2C=C,225,433,-5.874992455,0.223323837,6.098316292,
226,c1sc(c2c1CCS(=O)(=O)C2),226,372,-6.879500734,-1.030712843,5.848787891,
227,c1c2c(cccc2)cc2c1c(ccc2),227,711,-5.482577071,-1.925096647,3.557480424,
228,c1cc(cnc1),228,471,-6.957542987,-0.867879915,6.089663072,
229,c1c(OC)cc(c(c1)OCC(CC)CC),229,274,-5.469025802,-0.240902392,5.22812341,
230,c1sc(c2c1OSCCO2)C=C,230,309,-5.704866876,-1.178171339,4.526695537,
231,c1cCcc1,231,957,-6.017906649,-0.59312656,5.424780089,
232,c1sc(c2c1nc(CN)c(CN)n2)C=C,232,729,-5.862856177,-2.414656675,3.448199502,
233,c1sc(c2c1OCCS2)C=C,233,854,-5.592674335,-1.176647501,4.416026834,
234,c1scc2c1C=C(C2)C=C,234,756,-5.635096884,-1.423563609,4.211533275,
