,SMILES,new name,old name,homo,lumo,bandgap,
214,c1sc(c(c1O)OC),213,452,-5.736105546,-0.061307251,5.674798295,
215,c1nc2c(s1)[C@H]1[C@H](C2(CC)CC)N(CS1),214,934,-6.07096885,-0.968915787,5.102053063,
216,c1sc(c2c1c(C)ccc2C)C=C,215,550,-5.272423545,-1.684030987,3.588392558,
217,c(s1)c(CCN)c(CCN)c1,216,570,-6.073363452,-0.144846203,5.928517249,
218,c1sc(c2c1[nH]nc2),217,916,-5.717248056,-1.228920572,4.488327484,
219,c1c(nc2cSc12),218,643,-6.024573439,-2.796241928,3.228331511,
220,c1sc(c(c1O)C(=O)O),219,228,-6.329803545,-1.836822914,4.492980631,
221,c1[nH]cc2c1S(=O)(=O)C(=C2)C=C,220,606,-6.083594933,-1.80982922,4.273765713,
222,c1csc2c1c(CC)c(CC)c1c(csc21)C=C,221,119,-5.697356533,-1.163586036,4.533770497,
223,c1occc1N,222,200,-5.427446805,0.524689927,5.952136732,
224,c1sc(c2c1CCC[C@H]2O)C=C,223,184,-5.929143111,-1.232675743,4.696467369,
225,c1sc(c2c1cc(C(=O)O)c(O)c2)C=C,224,755,-5.738962741,-2.326763901,3.41219884,
226,c(nc1c2)cs1nc2C=C,225,757,-5.777657331,-2.344859473,3.432797858,
227,c1sc(c(c1N(=O)=O)C#N),226,483,-7.981643463,-2.96446271,5.017180753,
228,c1n(CC)nc(c1CC)CCC=C,227,74,-6.176929984,0.416143712,6.593073695,
229,c1c(F)cccc1C=C,228,28,-6.480609041,-1.383807775,5.096801265,
230,C=Cc1oc(c(c1O)O)C=C,229,422,-5.239443346,-1.325820314,3.913623032,
231,c1c(OC)cc(c(c1)OCC)C=C,230,798,-5.420453479,-0.961242177,4.459211302,
232,c1sc(c2c1OCCCO2),231,145,-6.156766347,-0.317992246,5.838774102,
233,c1sc(c2c1c(C(F)(F)F)ccc2OC)C=C,232,358,-5.500291683,-2.10099104,3.399300643,
234,c1c2c(ccs1)nc1c2sc(c1)C=C,233,777,-5.631042388,-2.202407872,3.428634516,
235,c1sc(O)c(c1),234,259,-5.787371795,-0.082477708,5.704894087,
236,C=C,235,59u,-7.506233355,0.157499497,7.663732852,duplicate?
237,c1sc(c(c1C(F)(F)F)C(F)(F)F)C=C,236,501,-6.877595937,-2.190462074,4.687133863,
238,C1=CC=C(C1=O),237,48,-6.853949244,-2.961224555,3.892724689,duplicate?
239,C=C(C)CNC=C,238,505,-5.463991695,0.131594258,5.595585953,
240,c1sc(c2c1OSCS2)C=C,239,737,-5.753629678,-1.343698194,4.409931484,
241,N1CN[C@@H]2N[C@H]3[C@@H](N[C@H]12)NCN3C=C,240,520,-5.337213852,0.761565033,6.098778886,
242,C1=C(Oc2c(csc2)O1)C=C,241,78,-5.432045529,-0.922955758,4.509089771,
243,c1sc2c(c1)c1c(scc1)c(c2),242,595,-5.828624255,-1.220185717,4.608438538,
244,c1sc(c2c1CCC[C@H]2C=O)C=C,243,459,-5.906639296,-1.456380539,4.450258757,
245,c1sc(c2c1oc(=O)c(=O)s2),244,490,-6.940998464,-2.621762527,4.319235938,
246,c1sc(c(c1OC)OC),245,9u,-5.648974691,0.019809888,5.668784579,duplicate?
