Molecule,HOMO-1 (eV),HOMO (eV),LUMO (eV),LUMO+1 (eV),Delta HOMO,delta LUMO,optical bandgap (cm-1),oscillator strength,single point energy,dipole moment (debye),summed oscs,first oscs,highest oscs under ten,first Energy Transition eV,first Energy transition wavenumber,lowest Energy Transition eV,lowest Energy transition wavenumber,PCE
167_189_580_203_167_13051,-7.62,-6.46,-2.27,-1.53,1.1600000000000001,0.74,16884.8,0.678573735,-2458.386532179224,4.79508,4.169586144,0.678573735,0.678573735,2.093377504,16884.8,2.093377504,16884.8,13.840516622525
279_34_580_7_279_13051,-7.83,-6.61,-3.88,-3.23,1.2199999999999998,0.6499999999999999,6562.6,0.377646664,-3985.794315118193,4.86648,7.8350646049999995,0.377646664,0.610108861,0.8136311479999999,6562.6,1.721412708,13884.6,19.143180463321997
580_34_131_131_279_01223,-6.49,-5.92,-2.92,-1.75,0.5700000000000003,1.17,6228.9,0.204357546,-4399.50861771811,15.02624,5.119905718,0.069230357,0.075232995,0.7722590219999999,6228.9,1.2501895239999998,10083.8,12.638656675923
279_171_580_22_279_13051,-7.87,-6.53,-3.7,-2.96,1.3399999999999999,0.7400000000000002,9540.0,1.085810565,-4156.475727814425,6.61346,7.694860040000001,1.085810565,1.085810565,1.1827691999999999,9540.0,1.1827691999999999,9540.0,19.460718777317
279_7_143_153_580_13570,-7.48,-6.73,-2.96,-2.17,0.75,0.79,17845.1,0.133877239,-3265.242838932413,7.98364,4.710086003000001,0.069684881,1.810720378,2.2124354979999996,17845.1,2.616622696,21105.2,12.840234928368
580_7_580_7_580_01010,-6.55,-6.17,-2.79,-2.23,0.3799999999999999,0.56,12904.5,1.52926668,-3613.807479976453,1.87737,4.458660018000001,1.52926668,1.52926668,1.5998999099999998,12904.5,1.5998999099999998,12904.5,10.919671347023
279_183_580_119_279_13051,-7.9,-6.68,-3.48,-2.95,1.2200000000000006,0.5299999999999998,9822.0,0.620152945,-4176.476563166315,6.41867,6.433857059999999,0.620152945,0.620152945,1.2177315599999998,9822.0,1.2177315599999998,9822.0,17.213717673856998
279_34_580_34_279_13031,-7.64,-6.64,-4.33,-3.83,1.0,0.5,3072.8,0.132546805,-4134.78461322594,6.33991,8.435893088999995,0.132546805,0.132546805,0.380965744,3072.8,0.380965744,3072.8,19.03442128578999
279_171_580_7_279_13051,-7.67,-6.58,-3.19,-2.81,1.0899999999999999,0.3799999999999999,13045.1,1.393374293,-4309.051693286485,10.59317,7.326149706000001,1.393374293,1.393374293,1.617331498,13045.1,1.617331498,13045.1,17.889254647399
255_119_580_128_255_13051,-8.18,-6.73,-3.3,-2.89,1.4499999999999993,0.4099999999999997,13009.8,1.025274265,-13933.870229056785,6.1331,6.023230174,1.025274265,1.025274265,1.6129550039999998,13009.8,1.6129550039999998,13009.8,17.62693445183499
279_34_580_151_279_13051,-7.96,-6.76,-3.87,-3.06,1.2000000000000002,0.81,6488.4,0.19320225,-4496.554110667065,5.08055,7.861572825,0.19320225,0.420347216,0.8044318319999999,6488.4,1.870511056,15087.2,19.094582282262003
279_34_580_171_279_13051,-7.72,-6.56,-3.7,-3.03,1.1600000000000001,0.6700000000000004,6425.0,0.275203115,-4458.051776561833,4.77439,7.513232532,0.275203115,0.447189481,0.7965714999999999,6425.0,1.7865394019999998,14409.9,18.444717698801
279_34_580_155_279_13051,-7.84,-6.67,-4.05,-3.43,1.17,0.6199999999999997,6370.7,0.518952394,-4398.614667075523,5.1922,7.6516089,0.518952394,0.518952394,0.7898393859999999,6370.7,0.7898393859999999,6370.7,18.677811957536996
82_34_580_119_82_13051,-8.15,-6.68,-4.13,-2.82,1.4700000000000006,1.31,5161.4,0.22488854,-4175.629074876614,6.75683,4.163291619999999,0.22488854,0.343510184,0.6399103719999999,5161.4,1.9466471739999998,15701.3,15.150899062977002
279_7_580_41_279_13051,-7.92,-6.73,-3.43,-3.01,1.1899999999999995,0.4200000000000004,12065.7,1.226441621,-3605.971966578994,12.87289,7.641493624999999,1.226441621,1.226441621,1.495905486,12065.7,1.495905486,12065.7,18.748983223862
279_171_580_171_279_13031,-7.64,-6.41,-3.13,-2.7,1.2299999999999995,0.4299999999999997,12513.0,1.558372706,-4781.324915774233,3.26886,7.274233035,1.558372706,1.558372706,1.55136174,12513.0,1.55136174,12513.0,18.413465391432
580_107_107_107_580_02220,-6.57,-6.22,-2.7,-2.17,0.35000000000000053,0.5300000000000002,15351.3,2.244694195,-6059.183572363396,3.27899,5.129027684,2.244694195,2.244694195,1.9032541739999997,15351.3,1.9032541739999997,15351.3,11.715117623105
255_119_197_119_255_13031,-7.84,-7.28,-2.88,-2.79,0.5599999999999996,0.08999999999999986,19989.9,1.583631512,-13683.473915013314,4.38853,6.334275395,1.583631512,1.583631512,2.478347802,19989.9,2.478347802,19989.9,14.268293721151997
260_189_580_103_260_13051,-8.14,-6.64,-3.04,-2.47,1.5000000000000009,0.5699999999999998,14474.4,0.852956499,-5126.419135812918,6.6904,5.142327438,0.852956499,0.852956499,1.7945361119999999,14474.4,1.7945361119999999,14474.4,16.626681384363003
279_34_580_175_279_13051,-7.93,-6.74,-3.81,-2.88,1.1899999999999995,0.9300000000000002,8388.4,0.319241177,-3777.169789201255,10.22542,7.950967979,0.319241177,0.692267433,1.039993832,8388.4,2.1882593979999996,17650.1,19.175129409319993
580_222_119_189_189_02133,-7.13,-6.3,-2.59,-1.66,0.8300000000000001,0.9299999999999999,14871.0,0.961771567,-2693.456234023278,4.34958,3.3845525389999995,0.961771567,0.961771567,1.8437065799999999,14871.0,1.8437065799999999,14871.0,11.355375348439997
158_119_580_151_158_13051,-8.24,-6.72,-3.37,-3.22,1.5200000000000005,0.1499999999999999,13659.3,1.025605822,-3673.639904718391,2.01881,4.617449794999999,1.025605822,1.025605822,1.6934800139999997,13659.3,1.6934800139999997,13659.3,15.989024869951999
279_34_580_119_279_13051,-7.91,-6.69,-3.83,-3.04,1.2199999999999998,0.79,7335.7,0.330017065,-3925.695974681931,7.88211,7.697224837999999,0.330017065,0.69870607,0.9094800859999999,7335.7,1.9342615719999998,15601.4,18.953375104162994
279_34_580_115_279_13051,-7.7,-6.72,-3.97,-3.63,0.9800000000000004,0.3400000000000003,8302.2,0.780350491,-3910.508712803864,10.72692,8.848841686000002,0.780350491,0.780350491,1.029306756,8302.2,1.029306756,8302.2,19.517951503859003
279_34_580_13_279_13051,-7.83,-6.58,-3.77,-2.95,1.25,0.8199999999999998,6150.7,0.206671952,-4272.296722021933,9.64375,7.8741402979999995,0.206671952,0.679792033,0.7625637859999999,6150.7,1.8869508039999998,15219.8,19.324637692582996
279_34_457_115_279_13051,-7.75,-6.75,-4.29,-3.63,1.0,0.6600000000000001,6120.4,0.691592889,-4039.274670309218,11.61931,9.281221407000002,0.691592889,0.691592889,0.7588071919999999,6120.4,0.7588071919999999,6120.4,20.198438379676
279_121_580_121_279_13031,-8.1,-6.72,-3.0,-2.75,1.38,0.25,13814.7,0.685935692,-3260.549916445613,9.81512,5.9104596670000005,0.685935692,0.685935692,1.712746506,13814.7,1.712746506,13814.7,17.173799463696
281_22_580_110_281_13051,-7.94,-6.8,-4.17,-3.47,1.1400000000000006,0.6999999999999997,7238.7,0.636079548,-4248.987330811137,5.85028,8.113341913,0.636079548,0.636079548,0.8974540259999999,7238.7,0.8974540259999999,7238.7,19.185968316438
281_34_580_175_281_13051,-8.09,-6.88,-4.03,-2.99,1.21,1.04,6138.6,0.166510255,-4173.711645521856,5.67369,8.023861231,0.166510255,0.489471382,0.7610636279999999,6138.6,1.9986691819999998,16120.9,19.360603417324
281_34_580_34_281_13031,-7.93,-6.79,-4.53,-3.94,1.1399999999999997,0.5900000000000003,2427.7,0.201301743,-4531.309146178633,2.83643,8.501976094,0.078396962,0.078396962,0.30098624599999996,2427.7,0.30098624599999996,2427.7,19.721117583674996
279_34_457_34_279_13031,-7.89,-6.87,-4.42,-3.69,1.0199999999999996,0.73,4714.1,0.334216171,-4263.544505437476,6.41478,8.670231687,0.334216171,0.334216171,0.584454118,4714.1,0.584454118,4714.1,19.442205535236
281_193_580_193_281_13031,-7.7,-6.48,-3.64,-3.1,1.2199999999999998,0.54,8134.6,0.858597888,-4636.351744087845,5.87735,6.622611902000001,0.858597888,0.858597888,1.008527708,8134.6,1.008527708,8134.6,17.473633091291
281_34_580_212_137_13057,-7.8,-6.6,-3.67,-2.67,1.2000000000000002,1.0,7647.1,0.349997729,-5030.949378496474,11.44676,6.551783193000001,0.349997729,0.358622137,0.9480874579999999,7647.1,1.9973301979999998,16110.1,17.291001958998002
281_22_580_22_281_13031,-8.08,-6.74,-4.14,-3.68,1.3399999999999999,0.4599999999999995,6982.2,0.735774021,-3928.172303946611,4.25537,7.875206259,0.735774021,0.735774021,0.8656531559999999,6982.2,0.8656531559999999,6982.2,19.709055520879993
281_34_580_115_281_13051,-7.88,-6.69,-4.29,-3.81,1.1899999999999995,0.48,5161.4,0.449994137,-4307.066738510197,8.19824,8.267370374,0.449994137,0.449994137,0.6399103719999999,5161.4,0.6399103719999999,5161.4,19.610815507234996
281_201_580_201_281_13031,-7.88,-6.62,-3.2,-2.65,1.2599999999999998,0.5500000000000003,13011.7,1.553709074,-3894.437387464033,3.91479,6.506448595,1.553709074,1.553709074,1.6131905659999999,13011.7,1.6131905659999999,13011.7,17.483876217552
281_34_580_70_281_13051,-8.14,-6.61,-3.9,-2.87,1.5300000000000002,1.0299999999999998,6783.9,0.315498329,-4777.275513839401,10.1021,7.1218405460000005,0.315498329,0.400433078,0.8410679219999999,6783.9,2.042930042,16477.9,19.480120934079004
279_7_94_22_279_13571,-8.03,-7.33,-3.68,-2.91,0.6999999999999993,0.77,14768.8,1.018760182,-3871.17801791798,2.99083,7.249658704000002,1.018760182,1.692709235,1.8310358239999998,14768.8,2.51970753,20323.5,16.124476537644995
31_34_457_34_31_13031,-7.81,-6.86,-4.34,-3.65,0.9499999999999993,0.69,5455.9,0.304363016,-4257.485201510149,3.57479,5.420489745999999,0.304363016,0.304363016,0.6764224819999999,5455.9,0.6764224819999999,5455.9,14.669460882478992
281_184_580_184_281_13031,-8.17,-6.87,-4.25,-3.72,1.2999999999999998,0.5299999999999998,6284.4,0.56355305,-5004.834299439238,15.64855,7.846433040999998,0.56355305,0.56355305,0.7791399119999999,6284.4,0.7791399119999999,6284.4,19.499234799693994
128_34_580_34_128_13031,-7.46,-6.64,-4.16,-3.63,0.8200000000000003,0.5300000000000002,4838.8,0.297125839,-4247.866238053442,3.27803,4.933065712,0.297125839,0.297125839,0.599914424,4838.8,0.599914424,4838.8,13.445127987660998
